city,region,type_of_unite,in_compound,owner_type,area,rooms,bathrooms,floor_number,elevator,finish_status,year_of_building,views,has_reviews,payment_method,price_per_meter,price,area_category,floor_category,building_category
Greater Cairo,Vida Residence - Kayan,Apartment,False,Developer,96,2,2,2,False,Semi-Finished,2028,Main Street,True,Cash or Installment,20000,1920000,Medium,low,new
Greater Cairo,شارع كورنيش المقطم,Apartment,False,Property Owner,230,4,2,2,False,Super Luxury,2025,Corner,True,Cash,22174,5100000,X-Large,low,new
Greater Cairo,كمبوند ذا ايكون جاردنز - ستايل هوم,Apartment,True,Real Estate Marketer,160,3,2,2,False,Semi-Finished,2027,Garden,True,Cash,29250,4680000,Large,low,new
Greater Cairo,تاج سلطان - كمبوند تاج سيتي,Apartment,True,Real Estate Marketer,110,2,2,0,False,Semi-Finished,2025,Garden,True,Cash,53636,5900000,Medium,ground,new
Hurghada,منتجع مجاويش,Apartment,False,Real Estate Marketer,69,2,1,0,False,Super Luxury,2026,Main Street,False,Cash or Installment,40000,2760000,Small,ground,new
Greater Cairo,Fourth Neighborhood,Apartment,False,Real Estate Marketer,200,3,2,1,False,Unfinished,2025,Garden,True,Cash,17425,3485000,X-Large,low,new
Greater Cairo,كلوب بارك - كمبوند ماونتن فيو أي سيتي,Apartment,True,Real Estate Marketer,170,3,3,2,False,Semi-Finished,2023,Garden,True,Cash,35882,6100000,X-Large,low,new
Greater Cairo,Origami Gardens - Taj City Compound,Apartment,True,Real Estate Marketer,130,2,2,4,False,Semi-Finished,2028,Lake,True,Installment,60000,7800000,Large,mid,new
Greater Cairo,كمبوند سيتي اوفال - ماستر جروب,Apartment,True,Real Estate Marketer,93,2,1,3,False,Semi-Finished,2025,Main Street,True,Cash or Installment,23785,2212000,Medium,low,new
Greater Cairo,تاج سلطان - كمبوند تاج سيتي,Apartment,True,Real Estate Marketer,166,3,3,1,False,Extra Super Luxury,2025,Main Street,True,Cash or Installment,49398,8200000,X-Large,low,new
Hurghada,منتجع مجاويش,Apartment,False,Real Estate Marketer,76,2,1,1,False,Super Luxury,2026,Main Street,False,Cash or Installment,40000,3040000,Small,low,new
Greater Cairo,مدينتي,Apartment,False,Real Estate Marketer,138,2,1,2,False,Super Luxury,2021,Garden,True,Cash,31884,4400000,Large,low,new
Greater Cairo,Origami Gardens - Taj City Compound,Studio,True,Real Estate Marketer,72,1,1,0,False,Unfinished,2027,Main Street,True,Cash or Installment,43056,3100000,Small,ground,new
Greater Cairo,تاج سلطان - كمبوند تاج سيتي,Apartment,True,Real Estate Marketer,155,3,2,1,False,Extra Super Luxury,2025,Main Street,True,Cash or Installment,70968,11000000,Large,low,new
Hurghada,منتجع مجاويش,Apartment,False,Real Estate Marketer,64,1,1,0,False,Super Luxury,2026,Swimming Pool,False,Cash or Installment,44250,2832000,Small,ground,new
Greater Cairo,كمبوند بريفادو - مجموعة طلعت مصطفي,Apartment,True,Real Estate Marketer,147,3,3,4,False,Super Luxury,2022,Garden,True,Installment,64150,9430000,Large,mid,new
